"Benchmark","percentile", "Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: bufferSize","Param: parallel","Param: parallelBuffersize","Param: quotes","Param: trim"
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt", "sample",1,799,895.279176,1.034289,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.00","sample",1,1,879.755264,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.50","sample",1,1,894.435328,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.90","sample",1,1,904.921088,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.95","sample",1,1,905.969664,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.99","sample",1,1,910.163968,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.999","sample",1,1,1071.644672,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.9999","sample",1,1,1071.644672,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p1.00","sample",1,1,1071.644672,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt", "sample",1,400,1234.782126,25.558515,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.00","sample",1,1,1088.421888,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.50","sample",1,1,1178.599424,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.90","sample",1,1,1484.783616,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.95","sample",1,1,1546.964173,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.99","sample",1,1,1553.989632,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.999","sample",1,1,1556.086784,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.9999","sample",1,1,1556.086784,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p1.00","sample",1,1,1556.086784,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt", "sample",1,795,820.334638,10.158239,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.00","sample",1,1,748.683264,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.50","sample",1,1,790.626304,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.90","sample",1,1,930.506342,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.95","sample",1,1,988.178022,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.99","sample",1,1,1187.071918,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.999","sample",1,1,1440.743424,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.9999","sample",1,1,1440.743424,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p1.00","sample",1,1,1440.743424,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback","avgt", "sample",1,734,949.995570,12.048605,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.00","sample",1,1,875.560960,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.50","sample",1,1,909.115392,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.90","sample",1,1,1039.138816,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.95","sample",1,1,1079.508992,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.99","sample",1,1,1424.595354,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.999","sample",1,1,1719.664640,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p0.9999","sample",1,1,1719.664640,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvCallback", "p1.00","sample",1,1,1719.664640,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt", "sample",1,800,929.093386,0.573548,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.00","sample",1,1,915.406848,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.50","sample",1,1,929.038336,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.90","sample",1,1,932.184064,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.95","sample",1,1,942.669824,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.99","sample",1,1,944.766976,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.999","sample",1,1,956.301312,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.9999","sample",1,1,956.301312,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p1.00","sample",1,1,956.301312,NaN,"ms/op",4,false,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt", "sample",1,400,1395.696599,31.077128,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.00","sample",1,1,1128.267776,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.50","sample",1,1,1434.451968,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.90","sample",1,1,1612.709888,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.95","sample",1,1,1631.059968,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.99","sample",1,1,1633.681408,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.999","sample",1,1,1635.778560,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.9999","sample",1,1,1635.778560,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p1.00","sample",1,1,1635.778560,NaN,"ms/op",4,false,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt", "sample",1,710,964.205507,17.032099,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.00","sample",1,1,786.432000,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.50","sample",1,1,936.378368,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.90","sample",1,1,1134.559232,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.95","sample",1,1,1248.749158,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.99","sample",1,1,1388.314624,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.999","sample",1,1,1526.726656,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.9999","sample",1,1,1526.726656,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p1.00","sample",1,1,1526.726656,NaN,"ms/op",4,true,64,false,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate","avgt", "sample",1,512,1066.567680,18.121484,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.00","sample",1,1,921.698304,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.50","sample",1,1,1042.284544,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.90","sample",1,1,1193.279488,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.95","sample",1,1,1250.636595,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.99","sample",1,1,1539.770941,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.999","sample",1,1,1988.100096,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p0.9999","sample",1,1,1988.100096,NaN,"ms/op",4,true,64,true,false
"org.simpleflatmapper.SfmCsvParserBenchmark.parseCsvIterate", "p1.00","sample",1,1,1988.100096,NaN,"ms/op",4,true,64,true,false
